episode_id,query0,query1,query2,query3,query4,query5,query6,query7,query8,query9,query10,query11,query12,query13,query14,query15,query16,query17,query18,query19,query20,query21,query22,query23,query24,query25,query26,query27,query28,query29,query30,query31,query32,query33,query34,query35,query36,query37,query38,query39,query40,query41,query42,query43,query44,query45,query46,query47,query48,query49,query50,query51,query52,query53,query54,query55,query56,query57,query58,query59,query60,query61,query62,query63,query64,query65,query66,query67,query68,query69,query70,query71,query72,query73,query74
12,0,3,1,0,0,0,3,2,1,2,3,3,3,3,0,3,4,1,1,0,1,2,3,2,3,4,2,2,1,2,1,4,2,3,4,2,2,1,2,2,1,3,2,1,2,2,0,3,3,3,1,1,3,4,0,2,1,2,0,3,3,2,0,4,2,2,4,3,4,1,1,0,3,0,3
13,1,3,2,0,1,1,1,0,3,1,1,1,1,2,0,3,3,3,0,1,1,3,0,2,4,0,3,1,2,3,1,0,3,0,1,4,3,0,3,3,2,1,0,3,0,0,1,1,2,0,1,1,3,0,1,3,1,0,1,0,3,0,3,3,0,0,3,0,1,1,1,1,2,2,2
14,3,1,1,4,1,0,1,4,2,4,3,3,4,1,4,0,4,4,2,1,1,0,0,4,4,4,3,3,2,3,1,1,0,0,4,3,3,4,4,1,0,0,3,4,0,0,3,1,4,4,1,0,3,2,2,4,4,3,1,3,1,4,4,1,4,4,4,0,1,1,1,1,1,2,2
15,1,1,3,4,2,3,4,4,4,1,4,1,3,1,3,4,4,1,4,3,1,1,3,4,1,4,2,4,1,1,4,0,4,3,1,2,1,1,4,4,1,4,4,4,4,4,4,2,4,1,4,4,1,4,4,4,1,1,4,4,4,0,4,4,4,1,3,0,4,4,3,1,1,4,1
16,3,3,3,3,3,3,0,1,3,1,0,0,2,3,3,3,3,0,2,4,3,4,3,2,3,3,2,2,0,0,2,3,4,1,3,0,3,0,1,0,3,1,3,4,1,3,1,1,0,2,4,3,3,3,2,3,1,1,2,1,3,3,3,2,1,1,1,0,3,1,3,3,0,3,1
17,1,2,4,3,3,1,1,1,3,1,4,1,1,3,1,4,0,1,1,3,2,1,0,2,3,4,0,1,4,1,1,1,1,1,1,0,0,1,0,2,1,3,3,1,4,2,1,1,1,4,1,4,1,0,3,1,2,3,1,0,1,1,1,0,1,3,0,4,3,1,3,2,1,1,1
18,1,2,0,4,3,1,3,3,1,4,2,3,4,1,0,4,2,0,3,1,3,2,2,2,0,0,0,3,4,0,0,3,3,4,1,4,3,1,1,3,1,3,3,0,3,4,2,4,1,4,3,0,1,3,2,1,4,0,4,3,3,3,1,1,1,0,1,2,1,1,3,4,4,1,3
19,0,2,1,4,4,1,2,3,1,3,3,4,1,3,1,1,3,2,3,1,4,1,1,4,0,1,1,2,3,1,4,2,2,1,1,0,0,3,3,2,4,3,0,3,1,3,1,1,1,1,1,4,4,1,0,1,1,1,3,4,1,3,4,1,1,1,3,1,4,1,0,1,0,4,2
20,4,1,1,0,3,1,1,1,2,3,3,0,3,2,1,1,2,2,0,0,3,0,1,2,1,1,2,4,2,1,0,1,1,1,0,1,4,4,1,2,3,3,0,0,1,0,3,3,2,4,4,4,1,1,0,2,1,0,2,3,2,1,3,1,1,1,0,3,1,0,4,4,1,0,3
21,4,3,1,3,2,3,4,2,1,0,4,2,2,4,4,2,1,3,3,2,4,3,1,2,2,4,1,1,0,0,1,4,2,2,1,1,3,0,2,0,3,2,1,4,4,4,3,2,1,4,3,0,3,1,4,4,2,2,3,1,1,0,2,3,4,0,3,4,3,2,3,3,1,4,4
22,3,3,3,3,3,0,2,2,2,4,0,0,3,1,3,0,1,4,0,1,3,1,3,0,0,3,3,4,0,1,1,1,3,0,2,3,1,0,3,0,3,3,1,3,1,1,0,1,2,3,1,2,0,3,0,3,0,1,1,4,3,3,1,4,1,2,4,1,4,1,3,4,4,0,0
23,4,4,1,4,3,0,1,3,1,2,3,3,4,1,1,2,2,3,4,2,1,2,4,1,2,2,4,2,4,4,2,2,4,1,3,0,1,3,3,4,1,1,2,2,2,2,1,2,1,1,2,2,2,1,2,4,2,3,3,3,1,1,4,1,0,2,4,1,2,1,0,3,3,3,1
24,4,2,4,3,4,0,1,4,1,4,4,1,4,0,2,0,4,4,1,0,1,2,0,0,4,3,2,4,4,2,4,1,1,4,3,4,0,2,0,1,0,3,4,0,0,3,4,1,1,4,1,1,4,0,4,4,0,1,4,4,2,4,1,0,2,4,3,2,1,4,4,4,0,3,4
25,1,0,0,0,2,0,1,0,3,1,3,4,1,2,3,1,2,3,3,0,0,1,4,1,0,0,0,2,0,4,1,4,4,3,3,1,0,1,0,0,1,1,0,1,0,0,3,0,0,0,1,4,1,1,0,2,2,0,0,2,2,0,4,4,4,3,0,1,4,2,1,0,4,1,4
26,2,0,1,1,2,1,2,2,3,2,1,0,3,0,3,3,0,3,3,1,4,4,3,3,1,3,4,4,2,0,4,1,4,2,4,2,4,4,3,4,0,2,1,4,1,4,1,4,0,3,0,0,0,3,1,0,2,0,2,0,4,0,4,3,4,3,0,0,0,2,0,0,0,4,0
27,1,0,0,3,0,2,0,0,4,3,0,2,0,3,4,0,1,0,4,4,3,2,0,4,2,0,2,1,4,2,0,0,3,2,0,4,0,0,1,2,1,1,0,0,0,3,4,0,0,2,3,0,0,0,4,1,3,0,0,3,3,4,3,1,0,3,2,4,1,4,4,3,2,0,4
28,2,0,4,3,0,4,1,3,3,4,0,3,0,1,3,3,1,2,3,3,4,3,3,2,3,3,0,4,4,3,3,0,3,3,0,0,2,0,1,4,3,3,0,2,0,0,0,3,4,2,3,3,2,0,4,4,1,1,3,0,2,0,2,2,0,0,0,0,0,4,3,4,4,3,0
29,4,4,1,1,3,2,1,4,1,2,2,0,2,3,1,4,4,1,0,3,3,4,3,4,0,4,4,4,4,4,3,3,4,3,2,2,4,0,3,4,3,4,4,2,4,1,2,3,4,2,3,2,0,4,3,1,2,4,2,4,2,2,1,4,1,1,1,0,1,1,1,0,4,3,2
30,0,1,2,1,3,4,0,2,0,1,3,1,3,0,4,4,1,3,0,2,0,0,2,1,3,3,0,4,3,1,4,0,3,2,0,1,4,3,2,1,2,3,2,1,0,1,2,2,2,2,0,1,3,3,1,0,3,4,0,1,1,0,1,2,1,4,3,4,3,0,1,4,4,4,0
31,4,1,3,4,2,4,2,4,0,2,1,1,0,4,1,1,3,4,3,0,0,4,2,4,2,2,3,4,2,3,3,2,3,2,4,4,4,0,1,4,1,4,2,0,3,0,4,4,0,4,4,2,3,4,1,4,1,2,2,4,2,2,3,0,1,4,1,3,3,2,0,2,2,2,3
32,2,0,2,2,0,2,3,2,3,2,2,2,2,3,0,2,3,0,4,3,2,0,2,1,3,0,4,3,0,3,3,4,2,0,3,0,0,0,3,0,3,0,0,3,3,3,3,3,1,2,3,2,3,3,0,0,3,2,3,4,3,2,4,0,0,4,2,4,0,0,3,2,3,4,2
33,1,4,1,3,0,1,0,3,4,4,0,2,2,1,1,3,2,2,0,3,4,2,4,2,2,2,4,2,1,3,0,3,2,3,4,4,1,0,1,2,1,4,2,1,4,1,1,1,3,4,3,4,1,1,2,3,4,1,1,0,1,1,3,1,3,3,1,3,1,2,3,1,2,4,1
34,1,0,4,0,1,1,3,2,0,0,3,4,1,3,1,0,1,3,2,1,1,1,0,1,3,1,0,1,3,2,3,1,3,0,1,4,0,1,3,1,4,1,2,1,0,2,0,0,0,0,4,0,0,1,1,4,4,4,1,0,0,1,2,0,4,4,0,1,4,2,3,0,2,1,2
35,4,0,4,3,0,0,1,1,4,2,1,4,1,1,1,2,1,0,0,0,2,1,1,0,4,3,1,2,2,3,2,0,1,3,3,0,4,0,2,3,1,2,2,1,3,2,1,4,1,1,3,3,0,1,0,0,4,4,0,4,4,3,4,2,1,2,0,3,4,2,0,4,4,1,0
36,4,2,0,4,1,4,2,3,4,0,3,3,0,0,3,0,1,0,3,1,0,0,3,2,0,4,2,4,0,0,4,3,1,0,3,4,0,0,0,0,0,4,4,3,0,4,0,1,1,0,0,0,3,0,3,0,0,0,0,2,3,3,0,4,1,4,1,1,3,0,0,0,4,0,4
37,4,1,0,2,4,3,0,1,3,3,4,2,1,3,3,0,4,1,1,2,4,2,3,3,3,3,3,0,4,1,1,1,3,3,0,1,1,1,4,0,1,1,2,0,4,4,0,0,1,4,1,3,0,1,2,3,2,4,0,2,1,4,0,1,2,1,1,0,1,2,4,3,1,0,1
38,0,1,1,1,4,0,1,4,2,2,3,0,2,2,2,2,2,4,4,3,2,3,2,2,0,0,4,1,1,4,1,4,0,4,3,1,1,4,2,0,3,3,3,1,0,4,0,4,4,0,1,0,4,3,0,3,3,3,2,3,0,2,0,1,3,2,1,1,3,0,3,3,1,2,1
39,1,1,3,4,1,3,2,3,3,1,1,2,1,1,4,0,4,4,1,3,0,1,3,2,0,1,1,3,3,1,3,0,4,2,4,2,0,4,1,0,2,1,4,3,4,0,1,3,4,1,2,2,4,3,2,2,3,4,3,2,0,4,1,2,2,0,0,2,2,4,4,3,1,4,0
40,3,0,2,3,1,0,0,0,2,3,4,0,4,3,2,2,4,0,0,0,3,3,4,1,4,0,4,0,1,0,3,3,0,0,1,2,3,4,0,0,4,3,0,3,4,2,0,2,3,4,3,2,4,3,0,0,3,1,4,2,1,2,0,2,1,2,0,3,4,2,4,4,3,3,2
41,3,3,1,4,4,4,1,4,1,0,1,4,2,2,4,2,1,3,4,2,1,2,1,4,4,2,0,2,2,4,3,3,2,2,0,3,4,0,4,4,0,0,1,4,1,2,3,1,4,0,1,4,0,4,0,1,3,4,4,4,0,4,4,1,0,0,3,4,1,4,1,4,3,4,1
42,0,3,1,4,2,4,1,0,1,1,4,3,0,1,1,4,1,1,4,4,1,1,0,1,1,4,2,1,4,4,0,4,0,4,4,2,4,3,2,3,3,4,4,3,1,4,4,4,0,3,0,2,3,4,1,1,1,4,0,1,2,1,0,1,4,4,4,1,0,0,4,0,4,1,3
43,4,1,0,3,0,3,1,3,3,3,2,0,1,2,3,2,3,0,2,3,1,4,2,0,3,0,4,3,1,3,1,2,3,4,2,2,0,1,3,3,3,2,2,1,3,2,1,1,1,3,4,2,0,3,1,1,4,3,3,3,1,1,1,3,1,3,3,2,3,3,1,3,4,2,2
44,2,2,3,2,0,1,4,4,2,2,1,2,4,2,2,3,0,0,2,4,1,0,0,1,0,3,2,4,4,1,0,0,2,0,0,0,3,0,4,3,0,0,4,1,4,3,4,1,2,1,1,3,0,1,3,4,4,1,0,1,0,1,4,3,2,0,4,0,0,1,1,4,3,2,1
45,3,1,2,4,0,3,2,3,0,3,1,4,1,0,0,3,3,2,0,4,0,1,3,4,4,0,1,1,0,3,0,1,1,3,1,4,4,1,1,0,1,1,2,4,0,1,0,3,1,2,0,1,3,3,0,3,1,1,0,0,2,1,0,2,0,1,3,3,3,3,4,0,1,1,3
46,2,2,2,1,0,4,2,1,2,3,2,1,2,3,1,1,3,3,1,1,4,2,2,4,2,3,2,2,2,1,3,2,1,3,1,2,2,1,2,1,2,0,2,3,2,3,2,1,1,2,2,4,3,0,4,0,1,3,2,0,2,0,1,1,3,2,2,0,2,2,3,3,2,2,1
47,4,0,4,0,4,1,0,2,2,0,2,4,0,4,1,4,0,4,4,4,3,4,4,0,0,1,0,0,4,1,3,0,0,2,4,4,4,0,2,3,3,4,0,2,0,3,4,4,2,0,2,0,4,4,2,3,4,2,1,3,2,1,0,4,4,0,4,3,4,0,0,0,2,4,3
48,2,4,1,2,4,4,1,4,1,1,1,4,0,1,0,3,1,3,0,2,3,0,1,2,3,2,3,2,3,1,4,4,2,4,0,2,3,1,3,2,3,4,0,2,2,1,4,2,3,4,1,3,2,0,0,2,4,1,0,2,0,4,2,4,4,2,1,4,1,2,0,4,4,1,4
49,1,1,4,3,3,1,2,2,4,4,0,0,0,1,2,1,1,4,2,0,4,1,2,0,0,1,3,0,4,0,3,4,4,4,1,2,4,1,3,2,1,2,0,1,0,1,2,3,3,3,2,4,1,3,4,1,0,2,2,0,4,2,0,3,2,1,3,2,0,2,0,2,1,0,1
50,0,0,4,2,0,0,3,2,3,2,0,1,0,0,2,2,2,4,0,0,0,2,2,2,2,0,0,2,2,0,1,3,0,2,3,0,3,3,3,4,2,0,4,2,2,2,2,0,0,4,3,2,1,2,0,3,3,3,2,0,0,2,4,0,1,2,0,2,0,1,1,2,4,3,0
51,1,1,1,3,1,4,3,1,3,3,0,2,0,1,1,1,2,3,4,3,1,0,2,3,2,0,1,1,1,2,1,0,4,1,1,1,3,2,1,3,3,1,3,4,3,1,2,0,1,1,1,2,1,1,0,1,2,1,0,1,3,3,0,1,1,1,1,3,0,2,1,3,0,4,2
52,3,4,0,0,0,2,3,2,4,2,0,4,1,1,0,0,2,3,3,2,4,1,3,0,0,3,4,3,3,1,1,3,4,0,2,2,0,0,1,3,4,3,2,2,0,0,4,3,3,2,2,4,2,4,4,3,3,0,4,3,4,3,2,0,4,4,1,0,3,0,0,0,2,4,1
53,0,0,1,3,1,3,1,0,0,1,1,0,3,4,3,0,3,4,4,1,4,1,2,3,1,4,4,4,0,2,2,3,4,3,1,3,3,2,1,2,1,3,2,1,4,0,4,4,3,3,1,4,4,2,1,4,3,4,3,3,0,3,2,0,1,1,3,2,3,4,0,1,0,1,4
54,2,2,3,2,4,4,4,2,3,3,2,2,1,3,3,2,2,3,4,1,0,0,4,3,0,3,2,1,1,3,0,4,1,1,3,3,0,2,1,2,2,0,2,3,2,1,1,4,3,3,2,4,0,3,3,1,1,3,3,1,2,3,4,0,3,3,3,3,0,2,3,4,4,3,2
55,1,2,4,4,2,0,2,1,1,0,2,2,0,4,1,3,2,0,1,4,2,3,2,2,2,1,1,1,2,2,2,2,3,2,2,1,1,4,4,2,2,1,4,4,3,1,1,3,2,2,0,1,1,4,0,2,4,3,2,2,4,1,4,1,1,1,4,1,0,3,1,1,4,2,4
56,0,1,1,0,3,3,1,4,4,0,3,0,2,0,2,2,2,4,2,4,3,2,1,4,3,3,1,0,3,3,3,2,4,3,3,1,4,2,2,1,0,0,0,0,3,1,1,3,2,1,0,3,4,0,4,3,1,2,3,4,3,3,3,1,0,0,2,1,2,0,2,1,3,0,4
57,4,0,0,2,1,4,4,2,4,2,4,4,3,4,1,4,0,0,1,2,2,3,0,3,1,1,3,4,0,2,4,1,4,4,3,3,0,1,2,4,0,4,1,4,1,3,2,1,0,3,1,2,2,3,1,3,1,2,4,4,1,4,4,2,4,3,2,0,4,1,4,1,2,4,2
58,0,2,2,4,2,2,4,0,4,4,2,3,4,3,2,4,4,4,4,1,0,0,4,3,2,4,2,4,0,4,2,4,1,4,2,1,4,4,1,2,0,4,0,0,4,4,2,4,0,1,4,2,4,4,1,0,3,4,4,4,2,0,4,1,4,4,1,4,4,2,4,0,3,4,1
59,4,4,2,3,4,3,4,3,1,3,1,3,1,4,3,3,3,4,3,3,4,3,4,3,2,1,2,1,3,3,2,1,4,0,4,2,3,0,4,3,1,0,4,0,3,3,1,3,3,3,0,0,1,4,4,4,4,4,3,1,3,3,2,4,2,4,4,3,4,3,4,2,3,0,3
60,2,3,3,1,2,3,2,2,0,3,3,2,3,4,0,4,0,1,2,0,2,2,0,1,3,2,2,2,2,2,4,2,0,3,0,1,1,1,0,1,2,4,3,3,2,1,3,3,1,0,2,1,3,2,2,3,2,1,1,1,2,2,1,1,3,2,1,0,3,1,1,0,4,2,4
61,0,2,3,1,0,1,0,2,2,3,4,3,1,1,3,3,0,1,0,2,3,2,0,2,3,3,3,1,0,1,2,1,3,0,0,1,1,0,4,1,3,3,1,4,2,1,0,0,3,3,4,3,3,0,3,2,4,0,1,1,2,4,3,0,4,0,2,3,0,0,1,4,0,3,3
62,3,4,4,3,0,2,4,3,1,2,3,1,4,0,2,0,0,2,0,3,0,4,4,1,3,1,4,1,1,1,0,1,0,1,0,0,0,1,4,1,1,2,3,1,0,0,2,1,2,3,4,1,3,1,0,2,4,1,0,3,0,4,4,0,0,0,4,2,2,1,3,4,4,3,4
63,1,4,4,4,1,0,4,1,3,2,1,1,0,2,1,3,1,4,0,2,0,2,2,1,1,1,4,0,4,0,0,0,2,1,4,0,1,1,1,4,1,1,4,2,3,0,1,2,1,1,4,4,4,0,0,2,1,4,0,2,1,0,3,0,3,2,0,0,0,1,0,2,3,1,0
64,2,1,0,0,1,1,2,1,2,0,1,4,4,2,1,3,4,1,3,4,1,1,4,2,1,3,1,2,2,0,4,2,2,2,1,0,2,1,0,1,0,3,1,3,0,4,2,2,3,2,2,2,0,0,0,3,3,3,1,2,3,1,2,0,0,4,0,3,3,2,1,4,2,0,4
65,2,2,2,3,3,3,4,3,2,0,2,2,2,2,1,3,3,2,2,3,2,2,1,2,0,2,3,3,0,2,3,0,2,2,4,1,3,3,1,1,4,2,0,4,2,2,1,1,3,0,2,3,2,2,2,0,3,1,2,2,1,3,2,2,1,3,2,4,2,2,0,3,2,0,1
66,0,3,3,4,0,0,2,2,4,4,0,2,3,1,1,1,1,2,3,0,2,0,1,3,3,2,0,3,1,2,4,2,1,0,3,4,2,0,3,3,3,3,3,0,2,4,0,0,2,1,3,0,3,2,3,0,4,3,2,0,0,1,1,3,4,4,4,3,3,4,0,3,0,0,1
67,3,3,4,0,2,1,4,2,4,2,0,4,4,3,2,0,4,2,4,0,3,2,4,4,4,4,0,3,0,3,2,3,2,0,1,3,2,4,4,1,0,4,4,3,4,0,4,3,3,4,4,0,4,0,3,4,4,2,4,0,4,1,4,4,0,3,3,3,0,0,3,4,4,4,0
68,1,3,0,0,3,1,1,0,0,2,1,4,1,1,1,1,4,0,4,3,0,1,1,3,3,0,3,1,3,2,1,0,3,3,0,0,4,0,3,0,1,2,4,3,1,1,4,1,3,0,1,1,3,4,0,0,2,3,3,4,1,3,0,0,0,1,4,0,0,1,0,0,3,0,3
69,0,3,1,2,1,1,3,2,0,3,1,3,3,2,3,1,0,3,1,3,2,2,1,0,0,1,3,1,3,3,3,0,1,1,1,3,1,3,3,2,3,1,4,0,3,2,0,3,1,3,0,0,0,1,3,1,3,3,1,3,1,3,3,1,0,3,3,3,3,1,2,3,3,1,0
70,0,0,4,3,3,0,3,0,1,0,4,1,3,0,0,0,4,2,3,1,0,4,3,3,0,0,1,1,4,1,4,4,3,0,3,3,3,0,4,0,2,1,0,3,3,3,1,3,4,4,0,3,1,3,3,3,1,4,0,3,4,1,0,3,4,0,3,2,1,3,1,3,3,3,0
71,1,2,4,2,2,2,4,2,1,4,2,0,3,2,1,3,3,2,0,1,1,2,1,4,4,2,1,3,3,1,3,1,3,4,4,4,4,4,3,2,0,3,3,1,3,3,2,2,2,2,1,4,2,0,3,4,3,0,2,0,2,3,4,4,1,1,1,1,1,4,2,1,1,0,0
72,3,0,0,0,0,3,1,3,3,3,0,0,0,2,3,2,3,3,3,3,3,0,0,4,3,4,3,3,3,3,2,0,3,3,1,1,2,1,0,0,0,3,3,1,0,4,0,1,3,1,4,2,1,0,1,2,3,3,2,3,0,0,0,2,1,3,3,2,3,1,3,0,0,4,3
73,2,4,1,0,0,1,4,2,0,4,2,1,2,0,2,0,2,4,2,1,1,2,1,2,2,2,2,3,3,2,1,0,3,1,0,2,2,1,4,2,1,2,2,2,2,2,0,4,1,0,1,2,2,0,2,1,2,2,0,2,4,0,4,2,0,1,1,2,3,0,2,2,2,1,2
74,2,2,3,3,2,0,3,4,3,2,1,2,0,0,2,4,4,3,2,2,3,4,2,2,1,3,2,0,4,4,3,2,4,2,2,2,2,2,3,4,3,2,2,3,0,2,3,4,2,4,4,4,3,2,2,2,4,3,0,4,0,4,3,4,4,3,3,2,1,0,4,0,2,1,2
75,0,0,1,3,3,0,0,0,4,1,1,2,4,1,2,3,2,1,2,0,1,3,3,1,0,3,4,0,3,0,0,1,4,2,4,0,1,1,3,4,0,1,2,0,3,2,1,3,1,1,1,1,0,2,0,2,2,1,3,0,0,3,3,0,4,1,1,1,4,2,4,4,3,3,3
76,1,3,3,3,2,0,3,2,3,4,2,3,1,1,3,1,3,1,1,3,0,1,1,1,2,3,3,3,1,4,2,3,1,3,2,3,1,4,1,3,3,0,1,1,2,3,2,3,1,1,2,1,4,1,3,1,1,3,1,1,1,2,3,1,3,4,3,1,1,0,4,3,4,0,1
77,3,3,0,4,1,2,1,1,4,1,4,3,1,3,1,2,4,3,4,4,0,4,0,0,3,3,0,3,2,2,3,1,3,0,4,0,3,1,1,0,1,1,3,0,0,3,4,4,0,1,4,1,1,1,3,3,3,2,4,1,1,1,1,1,1,1,3,1,3,1,1,3,1,1,3
78,1,4,3,4,0,4,2,2,4,2,2,2,4,1,4,0,4,1,3,4,0,1,1,1,4,4,4,3,0,4,2,0,0,0,0,4,0,0,4,4,2,0,4,0,2,0,4,1,4,0,3,0,4,4,0,2,0,2,3,4,2,4,3,3,0,3,0,4,4,0,4,4,4,1,2
79,4,4,2,1,2,3,0,2,1,0,4,2,1,1,2,1,3,2,4,3,2,2,1,2,3,2,1,3,2,3,3,1,1,3,3,0,3,1,0,2,2,1,0,3,3,3,4,2,4,0,2,3,2,2,0,3,4,3,4,3,0,4,3,1,2,2,4,4,4,2,2,3,0,2,0
80,4,4,2,2,2,4,4,1,1,4,0,3,2,0,2,4,4,4,0,0,2,0,1,0,2,0,3,4,4,2,1,0,4,0,2,3,3,4,3,4,3,4,4,2,4,4,1,3,4,4,1,2,0,0,4,4,0,4,4,4,1,0,2,3,4,1,2,0,4,0,4,4,4,2,0
81,4,3,4,1,1,4,3,4,3,2,3,3,4,3,4,2,2,3,2,3,4,3,3,4,4,1,1,3,1,1,4,1,2,0,3,1,4,2,2,2,4,2,3,3,3,4,2,1,4,1,4,1,4,3,2,2,4,2,4,2,2,2,4,0,3,4,4,1,2,4,3,3,2,2,3
82,1,1,0,1,1,4,3,2,3,3,1,3,3,3,1,1,3,3,1,3,1,1,3,1,3,3,1,1,1,1,3,3,3,2,3,3,1,3,3,1,1,0,1,1,3,3,1,3,1,3,1,1,3,3,3,0,1,3,1,3,3,1,1,3,3,3,3,1,0,3,3,1,3,1,2
83,1,2,1,0,2,4,2,3,2,1,4,0,3,4,0,1,2,1,4,1,0,3,3,0,3,3,1,4,0,3,4,3,0,3,2,0,2,1,3,4,0,0,3,2,0,2,2,2,3,0,3,3,2,1,0,2,2,0,0,4,2,0,0,2,0,1,3,0,1,0,2,3,0,3,2
84,1,2,1,4,3,2,0,2,0,1,4,0,4,4,4,2,2,2,0,1,1,1,1,4,4,3,4,4,1,4,1,4,1,4,2,2,4,4,1,4,1,3,2,1,4,2,0,3,3,4,1,1,4,2,4,1,4,4,2,2,1,3,1,4,1,4,4,1,4,3,4,2,2,2,2
85,4,4,4,3,3,3,0,0,4,3,3,2,2,3,4,0,0,4,3,4,4,3,0,0,3,3,0,4,1,4,4,2,0,4,3,3,4,1,1,2,0,2,3,2,4,1,4,4,0,4,0,2,0,1,1,1,2,3,2,3,1,2,3,4,2,0,4,2,3,1,4,2,3,2,1
86,0,0,4,4,3,4,4,0,0,2,2,4,0,0,0,2,2,1,4,4,0,2,4,3,3,3,4,3,2,1,4,2,4,2,2,2,2,4,2,4,0,4,4,4,0,3,0,2,4,2,2,0,1,1,4,4,3,0,2,4,2,0,0,2,4,3,2,3,4,2,0,4,4,4,0
87,0,4,1,0,4,0,4,3,1,4,1,0,1,4,2,2,1,4,4,2,1,0,2,3,4,4,4,2,3,4,2,2,0,2,3,4,2,1,0,4,0,3,1,1,1,3,3,1,3,3,1,3,4,1,2,0,2,2,1,1,4,2,0,0,3,1,2,2,4,2,2,0,4,2,1
88,0,3,4,0,2,2,4,4,4,3,1,2,1,0,0,3,2,2,1,0,4,4,3,2,0,2,4,1,0,0,0,2,4,2,2,3,3,3,4,0,1,3,4,4,3,0,4,0,3,0,0,3,0,3,3,4,2,4,0,0,2,0,4,1,1,1,1,2,0,2,4,0,4,2,2
